Sr No,,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065
1,General Information
2,Client,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,Your_income_tax_rate,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142
4,Spouse,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
5,Spouse's_income_tax_rate,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
6,Income
7,EARNED_INCOME,0,20460,20931,21412,21904,58261,59602,37521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SPOUSE_EARNED_INCOME,0,0,23024,23553,0,0,0,0,0,0,22596,23116,23647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,OAS,0,0,0,0,0,0,0,2580,2639,2700,2762,2825,2890,2957,3025,3094,3165,3238,3313,3389,3467,3547,3628,3712,3797,3884,3974,4065,4159,4254,4352,4452,4555,4659,4766,4876,4988,5103,5220,5340,5463,5589,5717
10,SPOUSE_OAS,1725,1765,1805,1847,1889,1933,1977,2023,2069,2117,2165,2215,2266,2318,2372,2426,2482,2539,2597,2657,2718,2781,2845,2910,2977,3046,3116,3187,3261,3336,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CPP,0,0,0,0,0,0,0,9380,9596,9817,10043,10274,10510,10752,10999,11252,11511,11775,12046,12323,12607,12897,13193,13497,13807,14125,14450,14782,15122,15470,15826,16190,16562,16943,17333,17731,18139,18556,18983,19420,19866,20323,20791
12,SPOUSE_CPP,7500,7672,7849,8029,8214,8403,8596,8794,8996,9203,9415,9631,9853,10080,10311,10549,10791,11039,11293,11553,11819,12091,12369,12653,12944,13242,13547,13858,14177,14503,0,0,0,0,0,0,0,0,0,0,0,0,0
13,NON_REGISTERED_DIVIDEND,600,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
