Sr No,,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
1,General Information
2,Client,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,Your_income_tax_rate,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
4,Spouse,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
5,Spouse's_income_tax_rate,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
6,Income
7,EARNED_INCOME,0,0,10506,10769,27595,11314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SPOUSE_EARNED_INCOME,0,0,0,21538,22076,36205,23194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,OAS,0,0,0,0,0,0,0,0,0,0,1024,1050,1076,1103,1130,1159,1188,1217,1248,1279,1311,1344,1377,1412,1447,1483,1520,1558,1597,1637,1678,1720,1763,1807,1852,1899,1946,1995,2045,2096,2148,2202,2257,2313,2371,2430
10,SPOUSE_OAS,800,820,840,862,883,905,928,951,975,999,1024,1050,1076,1103,1130,1159,1188,1217,1248,1279,1311,1344,1377,1412,1447,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CPP,0,0,0,0,0,0,0,0,0,0,1280,1312,1345,1379,1413,1448,1485,1522,1560,1599,1639,1680,1722,1765,1809,1854,1900,1948,1996,2046,2098,2150,2204,2259,2315,2373,2433,2493,2556,2620,2685,2752,2821,2892,2964,3038
12,SPOUSE_CPP,1000,1025,1051,1077,1104,1131,1160,1189,1218,1249,1280,1312,1345,1379,1413,1448,1485,1522,1560,1599,1639,1680,1722,1765,1809,1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,OTHER_PENSION,0,0,0,0,0,0,0,0,0,0,0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
14,SPOUSE_OTHER_PENSION,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,NON_REGISTERED_DIVIDEND,600,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,SPOUSE_NON_REGISTERED_DIVIDEND,900,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,SALE_OF_NON_REGISTERED_ASSET,30853,9893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,SPOUSE_SALE_OF_NON_REGISTERED_ASSET,31930,29404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,RRIF_WITHDRAWAL,0,3182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,SPOUSE_RRIF_WITHDRAWAL,120,3060,0,0,0,0,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,LIF_WITHDRAWAL,0,1518,1060,962,871,789,714,646,583,526,473,426,382,342,307,273,244,216,192,169,149,130,114,98,84,72,60,50,41,32,25,19,12,7,2,0,0,0,0,0,0,0,0,0,0,0
