Sr No,,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
1,General Information
2,Client,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
3,Your_income_tax_rate,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
4,Spouse
5,Spouse's_income_tax_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6,Income
7,EARNED_INCOME,126930,134812,138183,141637,145178,5198,5328,0,0,0,0,0,0,0,0,0,0,0,0
8,OAS,706,724,742,760,779,799,819,839,860,882,904,926,949,973,998,1022,1048,1074,1101
9,OAS_CLAWBACK,706,724,742,760,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CPP,1038,1064,1091,1118,1146,1174,1204,1234,1265,1296,1329,1362,1396,1431,1467,1503,1541,1579,1619
11,NON_REGISTERED_DIVIDEND,2382,3355,4435,5568,6757,39352,39769,40177,40487,40780,41052,41303,41535,41745,41932,41993,42016,42001,41943
12,OTHER_PENSION,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
13,SALE_OF_NON_REGISTERED_ASSET,0,0,0,0,0,18512,19332,24685,25860,27155,28497,29709,31041,32409,38864,40835,42781,44917,47150
14,RRIF_WITHDRAWAL,3179,3315,3459,3610,3769,3936,4114,4302,4502,4718,4954,5219,5532,5973,238,-10,-10,-10,-10
15,TFSA_WITHDRAWAL,0,0,0,0,0,0,0,22,72,12,0,4,62,0,0,21,98,20,0
16,SALE_OF_HOME,0,0,0,0,1655719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,total_funds_in,135466,144501,149141,153924,1814579,70202,71797,72490,74277,76074,77967,79754,81746,83762,84730,86595,88705,90812,93034
18,TAX,33249,36504,38123,39794,41520,7621,7760,6850,6960,7074,7192,7311,7440,7594,6616,6628,6686,6743,6799
19,ANNUAL_RETIREMENT_EXPENSES,54000,55350,56734,58152,59606,61096,62623,64189,65794,67439,69125,70853,72624,74440,76301,78208,80163,82167,84222
20,HEALTH_CARE_EXPENSES,1250,1281,1313,1346,1380,1414,1450,1486,1523,1561,1600,1640,1681,1723,1766,1810,1856,1902,1950
21,ONE_OFF_EXPENSES,0,0,0,0,88305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,total_funds_out,89205,93859,96912,100052,191590,70131,71833,72525,74277,76074,77917,79804,81745,83757,84683,86646,88705,90812,92971
23,net_funds_in,46261,50642,52229,53872,1622989,71,-36,-35,0,0,50,-50,1,5,47,-51,0,0,63
24,NON_REGISTERED_ASSET,167747,221745,278408,337848,1967594,1988435,2008872,2024364,2038991,2052616,2065171,2076765,2087260,2096596,2099664,2100822,2100057,2097141,2091933
25,NON_REGISTERED_BOOK_VALUE,106521,157164,209392,263264,1886253,1868855,1851042,1828742,1805839,1782261,1758002,1733208,1707810,1681813,1651249,1619765,1587427,1554140,1519883
26,RRIF,43101,41510,39711,37689,35428,32910,30112,27014,23592,19818,15656,11063,5973,238,10,20,30,42,54
27,TFSA,134084,139448,145026,150828,156862,163136,169662,176426,183412,190736,198366,206296,214486,223066,231988,241247,250799,260811,271243
28,HOME,1537500,1575938,1615336,1655719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,CLEARING,0,0,0,0,0,71,35,0,0,0,50,0,0,5,51,0,0,0,63
30,total_assets,1882432,1978641,2078481,2182084,2159884,2184552,2208681,2227804,2245995,2263170,2279243,2294124,2307719,2319905,2331713,2342089,2350886,2357994,2363293
