Sr No,,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059
1,General Information
2,Client,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,Your_income_tax_rate,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
4,Spouse
5,Spouse's_income_tax_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
6,Income
7,OAS,10000,10250,10506,10769,11038,11314,11597,11887,12184,12489,12801,13121,13449,13785,14130,14483,14845,15216,15597,15987,16386,16796,17216,17646,18087,18539,19003,19478,19965,20464,20976,21500,22038,22589,23153,23732
8,OAS_CLAWBACK,0,0,1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CPP,20000,20500,21012,21538,22076,22628,23194,23774,24368,24977,25602,26242,26898,27570,28259,28966,29690,30432,31193,31973,32772,33592,34431,35292,36175,37079,38006,38956,39930,40928,41951,43000,44075,45177,46306,47464
10,NON_REGISTERED_DIVIDEND,7500,6367,5141,2755,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,SALE_OF_NON_REGISTERED_ASSET,52810,55398,100617,61713,52506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,LIF_WITHDRAWAL,0,0,0,0,0,0,0,0,44264,120312,101448,112048,112538,117208,119748,123751,127404,131462,135537,139505,144390,148323,153446,157577,162363,167596,172655,177525,182834,187619,192609,38443,0,0,0,0
13,TFSA_WITHDRAWAL,97,35,1866,1,11942,66179,67846,69557,37585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,PERMANENT_LIFE_INSURANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000
15,total_funds_in,90407,92550,139142,96776,98843,100121,102637,105218,118401,157778,139851,151411,152885,158563,162137,167200,171939,177110,182327,187465,193548,198711,205093,210515,216625,223214,229664,235959,242729,249011,255536,102943,66113,67766,69459,86196
16,TAX,5407,5425,6005,5242,5019,3951,4064,4180,14826,40867,34091,38270,38699,40687,41891,43646,45321,47261,49260,51223,53572,55540,58005,60073,62421,64962,67443,69856,72464,74923,77481,18802,8383,8617,8857,9104
17,ANNUAL_RETIREMENT_EXPENSES,80000,82000,84050,86151,88305,90513,92775,95095,97472,99909,102407,104967,107591,110281,113038,115864,118760,121729,124773,127892,131089,134367,137726,141169,144698,148316,152023,155824,159720,163713,167805,172001,176301,180708,185226,189856
18,HEALTH_CARE_EXPENSES,5000,5125,5253,5384,5519,5657,5798,5943,6092,6244,6400,6560,6724,6893,7065,7241,7423,7608,7798,7993,8193,8398,8608,8823,9044,9270,9501,9739,9982,10232,10488,10750,11019,11294,11577,11866
19,ONE_OFF_EXPENSES,0,0,42025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,total_funds_out,90407,92550,139142,96777,98843,100121,102637,105218,118390,147020,142898,149797,153014,157861,161994,166751,171504,176598,181831,187108,192854,198305,204339,210065,216163,222548,228967,235419,242166,248868,255774,201553,195703,200619,205660,210826
21,net_funds_in,0,0,0,-1,0,0,0,0,11,10758,-3047,1614,-129,702,143,449,435,512,496,357,694,406,754,450,462,666,697,540,563,143,-238,-98610,-129590,-132853,-136201,-124630
22,NON_REGISTERED_ASSET,254690,205659,110184,51225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,NON_REGISTERED_BOOK_VALUE,231913,182700,95496,43314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,TFSA,188903,198315,206365,216682,215574,160173,100336,35795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,LIRA,1260000,1323000,1389150,1458608,1531538,1608114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,LIF,0,0,0,0,0,0,1688520,1772946,1817330,1787884,1775830,1752574,1727664,1696841,1661934,1621279,1574939,1522223,1462798,1396433,1321865,1239636,1148173,1048004,938041,817346,685559,542312,386594,218305,36613,0,0,0,0,0
27,CLEARING,0,0,0,0,0,0,0,0,11,10769,7721,9336,9207,9909,10052,10501,10937,11449,11945,12302,12996,13402,14155,14605,15067,15734,16431,16971,17534,17677,17439,-81171,-210761,-343614,-479815,-604445
28,total_assets,1703593,1726974,1705699,1726515,1747112,1768287,1788856,1808741,1817341,1798653,1783551,1761910,1736871,1706750,1671986,1631780,1585876,1533672,1474743,1408735,1334861,1253038,1162328,1062609,953108,833080,701990,559283,404128,235982,54052,-81171,-210761,-343614,-479815,-604445
