Sr No,,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069
1,General Information
2,Client,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,Your_income_tax_rate,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
4,Spouse,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
5,Spouse's_income_tax_rate,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
6,Income
7,EARNED_INCOME,0,10250,10506,23692,24284,13577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SPOUSE_EARNED_INCOME,0,0,12607,12923,28699,29417,30152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,OAS,0,0,0,0,0,0,0,0,0,0,1088,1115,1143,1172,1201,1231,1262,1293,1326,1359,1393,1428,1463,1500,1537,1576,1615,1656,1697,1739,1783,1828,1873,1920,1968,2017,2068,2119,2172,2227,2282,2339,2398,2458,2519,2582
10,SPOUSE_OAS,850,871,893,915,938,962,986,1010,1036,1062,1088,1115,1143,1172,1201,1231,1262,1293,1326,1359,1393,1428,1463,1500,1537,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CPP,0,0,0,0,0,0,0,0,0,0,1536,1575,1614,1654,1696,1738,1781,1826,1872,1918,1966,2015,2066,2118,2170,2225,2280,2337,2396,2456,2517,2580,2645,2711,2778,2848,2919,2992,3067,3143,3222,3303,3385,3470,3557,3645
12,SPOUSE_CPP,1200,1230,1261,1292,1325,1358,1392,1426,1462,1499,1536,1575,1614,1654,1696,1738,1781,1826,1872,1918,1966,2015,2066,2118,2170,2225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,OTHER_PENSION,0,0,0,0,0,0,0,0,0,0,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
14,SPOUSE_OTHER_PENSION,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,NON_REGISTERED_DIVIDEND,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,SPOUSE_NON_REGISTERED_DIVIDEND,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,SALE_OF_NON_REGISTERED_ASSET,40600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,SPOUSE_SALE_OF_NON_REGISTERED_ASSET,10150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,RRIF_WITHDRAWAL,2657,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,SPOUSE_RRIF_WITHDRAWAL,3090,0,0,0,0,0,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,LIF_WITHDRAWAL,0,1518,1060,962,871,789,714,646,583,526,473,426,382,342,307,273,244,216,192,169,149,130,114,98,84,72,60,50,41,32,25,19,12,7,2,0,0,0,0,0,0,0,0,0,0,0
