Sr No,,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
1,General Information
2,Client,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
3,Your_income_tax_rate,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
4,Spouse
5,Spouse's_income_tax_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6,Income
7,EARNED_INCOME,91027,93758,96571,99468,102452,105525,1302743,1229874,1266770,1304773,0,0,0,0,0,0,0,0,0
8,OAS,706,727,749,771,795,818,843,868,894,921,949,977,1007,1037,1068,1100,1133,1167,1202
9,OAS_CLAWBACK,706,727,749,771,795,818,843,868,894,921,0,0,0,0,0,0,0,0,0
10,CPP,1038,1069,1101,1134,1168,1203,1239,1277,1315,1354,1395,1437,1480,1524,1570,1617,1666,1716,1767
11,NON_REGISTERED_DIVIDEND,1335,1957,2615,3308,2938,3670,4441,31070,45727,61243,77657,79323,81012,82725,84459,86217,87996,89796,91618
12,OTHER_PENSION,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
13,SALE_OF_NON_REGISTERED_ASSET,0,0,0,21802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,SALE_OF_HOME,0,0,0,0,0,0,1791078,0,0,0,0,0,0,0,0,0,0,0,0
15,PERMANENT_LIFE_INSURANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
16,total_funds_in,95337,98742,102267,127714,108584,112447,3101575,1264320,1315937,1369522,81232,82968,84730,86517,88328,90165,92026,93910,105818
17,TAX,19578,20505,21466,22856,23192,24320,525622,506021,527647,550100,14768,15190,15617,16050,16488,16932,17381,17834,18293
18,ANNUAL_RETIREMENT_EXPENSES,45000,46350,47740,49173,50648,52167,53732,55344,57005,58715,60476,62291,64159,66084,68067,70109,72212,74378,76609
19,HEALTH_CARE_EXPENSES,250,258,265,273,281,290,299,307,317,326,336,346,356,367,378,389,401,413,426
20,ONE_OFF_EXPENSES,0,0,0,54636,0,0,1194052,0,0,0,0,0,0,0,0,0,0,0,0
21,total_funds_out,65534,67840,70220,127709,74916,77595,1774548,562540,585863,610062,75580,77827,80132,82501,84933,87430,89994,92625,95328
22,net_funds_in,29803,30902,32047,5,33668,34852,1327027,701780,730074,759460,5652,5141,4598,4016,3395,2735,2032,1285,10490
23,NON_REGISTERED_ASSET,97868,130726,165389,146895,183505,222028,1553495,2286345,3062146,3882849,3966158,4050622,4136232,4222973,4310827,4399779,4489808,4580889,4682997
24,NON_REGISTERED_BOOK_VALUE,85427,116328,148376,129201,162873,197725,1524752,2226531,2956605,3716066,3721717,3726859,3731457,3735473,3738868,3741603,3743635,3744920,3755411
25,RRSP,48360,50294,52306,54398,56574,58836,61190,63638,66184,68832,71586,74450,77428,80526,83748,87098,90582,94206,97974
26,TFSA,47916,49832,51826,53900,56056,58298,60630,63056,65578,68202,70930,73768,76718,79786,82978,86298,89750,93340,97074
27,HOME,1545000,1591350,1639090,1688263,1738911,1791078,0,0,0,0,0,0,0,0,0,0,0,0,0
28,CLEARING,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,total_assets,1739144,1822202,1908611,1943460,2035046,2130240,1675315,2413039,3193908,4019883,4108674,4198840,4290378,4383285,4477553,4573175,4670140,4768435,4878045
